drum_id,tree_id,ind_id,context,tree_all_id,species,n_buttresses,circumference,DBH_measure,DBH_calc,use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_05,CWI,4,58,18,18.4619734,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_06,CWI,7,146,36,46.47324338,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_07,HG,7,155,53,49.33803236,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_08,HG,1,150,35,47.74648293,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_08,HG,1,150,35,47.74648293,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_09,CZE,4,82,25,26.10141067,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_09,CZE,4,82,25,26.10141067,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_10,LM,2,78,22,24.82817112,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_10,LM,2,78,22,24.82817112,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_11,CMI,4,99,30,31.51267873,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_11,CMI,4,99,30,31.51267873,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
019DR,019TR,FID,arrival at feeding tree,P19_12,CMI,3,136,38,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P19_12,CMI,3,136,38,43.29014452,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_01,CAL,9,,59,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P20_01,CAL,9,,59,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_05,CAL,10,114,35,36.28732702,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P20_05,CAL,10,114,35,36.28732702,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_06,EBI,8,,105,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P20_06,EBI,8,,105,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_07,CMI,4,133,35,42.33521486,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P20_07,CMI,4,133,35,42.33521486,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_13,CYA,3,60,18,19.09859317,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020DR,020TR,FID,arrival at feeding tree,P20_14,CMI,6,186,52,59.20563883,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_08,CMI,6,176,50,56.02253997,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_09,CYA,8,117,28,37.24225668,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_10,CYA,6,107,34,34.05915782,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_11,CYA,5,125,39,39.78873577,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_12,CMI,2,74,29,23.55493158,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_13,CMI,7,140,38,44.56338407,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
021DR,021TR,FID,arrival at feeding tree,P21_14,CYA,6,114,31,36.28732702,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
